박쥐문별전,ㅂㅏㄱᴥㅈㅟᴥㅁㅜㄴᴥㅂㅕㄹᴥㅈㅓㄴᴥ
성모,ㅅㅓㅇᴥㅁㅗᴥ
십로도상계축,ㅅㅣㅂᴥㄹㅗᴥㄷㅗᴥㅅㅏㅇᴥㄱㅖᴥㅊㅜㄱᴥ
스튜디오,ㅅㅡᴥㅌㅠᴥㄷㅣᴥㅇㅗᴥ
로미오,ㄹㅗᴥㅁㅣᴥㅇㅗᴥ
줄리엣,ㅈㅜㄹᴥㄹㅣᴥㅇㅔㅅᴥ
윙스프레드,ㅇㅟㅇᴥㅅㅡᴥㅍㅡᴥㄹㅔᴥㄷㅡᴥ
탤리에신,ㅌㅐㄹᴥㄹㅣᴥㅇㅔᴥㅅㅣㄴᴥ
프라이스,ㅍㅡᴥㄹㅏᴥㅇㅣᴥㅅㅡᴥ
홀리호크,ㅎㅗㄹᴥㄹㅣᴥㅎㅗᴥㅋㅡᴥ
안견,ㅇㅏㄴᴥㄱㅕㄴᴥ
강희안,ㄱㅏㅇᴥㅎㅢᴥㅇㅏㄴᴥ
브뤼셀,ㅂㅡᴥㄹㅟᴥㅅㅔㄹᴥ
그리스도,ㄱㅡᴥㄹㅣᴥㅅㅡᴥㄷㅗᴥ
알테,ㅇㅏㄹᴥㅌㅔᴥ
AVI,AVI
bps,bps
CCM,CCM
CIE,CIE
CMC,CMC
CMYK,CMYK
DIC,DIC
DIN,DIN
표색계,ㅍㅛᴥㅅㅐㄱᴥㄱㅖᴥ
EPS,EPS
FMC,FMC
GIF,GIF
GND,GND
HDTV,HDTV
HMI,HMI
ICI,ICI
IRI,IRI
ISCC-NIST,ISCC-NIST
색명법,ㅅㅐㄱᴥㅁㅕㅇᴥㅂㅓㅂᴥ
JPEG,JPEG
KS,KS
CIELUV 색차,CIELUV ㅅㅐㄱᴥㅊㅏᴥ
LCD,LCD
LRV,LRV
NCS,NCS
색삼각형,ㅅㅐㄱᴥㅅㅏㅁᴥㄱㅏㄱᴥㅎㅕㅇᴥ
색상환,ㅅㅐㄱᴥㅅㅏㅇᴥㅎㅘㄴᴥ
표색계,ㅍㅛᴥㅅㅐㄱᴥㄱㅖᴥ
ND,ND
NTSC,NTSC
OSA-UCS 시스템,OSA-UCS ㅅㅣᴥㅅㅡᴥㅌㅔㅁᴥ
PAL,PAL
PCCS,PCCS
PDF,PDF
PICT,PICT
PNG,PNG
RGB,RGB
ROP,ROP
RWB,RWB
SDI,SDI
SD법,SDㅂㅓㅂᴥ
SECAM,SECAM
S자형재갈,Sㅈㅏᴥㅎㅕㅇᴥㅈㅐᴥㄱㅏㄹᴥ
TIFF,TIFF
UCS,UCS
색도그림,ㅅㅐㄱᴥㄷㅗᴥㄱㅡᴥㄹㅣㅁᴥ
UV 필터,UV ㅍㅣㄹᴥㅌㅓᴥ
VRML,VRML
XYZ,XYZ
표색계,ㅍㅛᴥㅅㅐㄱᴥㄱㅖᴥ
Yellow,Yellow
Yxy,Yxy
가구금구장식,ㄱㅏᴥㄱㅜᴥㄱㅡㅁᴥㄱㅜᴥㅈㅏㅇᴥㅅㅣㄱᴥ
가구문고리,ㄱㅏᴥㄱㅜᴥㅁㅜㄴᴥㄱㅗᴥㄹㅣᴥ
가구장식부속품,ㄱㅏᴥㄱㅜᴥㅈㅏㅇᴥㅅㅣㄱᴥㅂㅜᴥㅅㅗㄱᴥㅍㅜㅁᴥ
가네샤,ㄱㅏᴥㄴㅔᴥㅅㅑᴥ
가노파,ㄱㅏᴥㄴㅗᴥㅍㅏᴥ
가는선문,ㄱㅏᴥㄴㅡㄴᴥㅅㅓㄴᴥㅁㅜㄴᴥ
가니메데스,ㄱㅏᴥㄴㅣᴥㅁㅔᴥㄷㅔᴥㅅㅡᴥ
가드너,ㄱㅏᴥㄷㅡᴥㄴㅓᴥ
가라가이,ㄱㅏᴥㄹㅏᴥㄱㅏᴥㅇㅣᴥ
가라에,ㄱㅏᴥㄹㅏᴥㅇㅔᴥ
가락지,ㄱㅏᴥㄹㅏㄱᴥㅈㅣᴥ
가랑스,ㄱㅏᴥㄹㅏㅇᴥㅅㅡᴥ
가로줄문,ㄱㅏᴥㄹㅗᴥㅈㅜㄹᴥㅁㅜㄴᴥ
가로팔로,ㄱㅏᴥㄹㅗᴥㅍㅏㄹᴥㄹㅗᴥ
가루다,ㄱㅏᴥㄹㅜᴥㄷㅏᴥ
가루라,ㄱㅏᴥㄹㅜᴥㄹㅏᴥ
가르니,ㄱㅏᴥㄹㅡᴥㄴㅣᴥ
가르데니아,ㄱㅏᴥㄹㅡᴥㄷㅔᴥㄴㅣᴥㅇㅏᴥ
생각,ㅅㅐㅇᴥㄱㅏㄱᴥ
고민,ㄱㅗᴥㅁㅣㄴᴥ
필요,ㅍㅣㄹᴥㅇㅛᴥ
가릉빈가,ㄱㅏᴥㄹㅡㅇᴥㅂㅣㄴᴥㄱㅏᴥ
가릉빈가무늬,ㄱㅏᴥㄹㅡㅇᴥㅂㅣㄴᴥㄱㅏᴥㅁㅜᴥㄴㅢᴥ
가릉빈가문,ㄱㅏᴥㄹㅡㅇᴥㅂㅣㄴᴥㄱㅏᴥㅁㅜㄴᴥ
가릉빈가문수막새,ㄱㅏᴥㄹㅡㅇᴥㅂㅣㄴᴥㄱㅏᴥㅁㅜㄴᴥㅅㅜᴥㅁㅏㄱᴥㅅㅐᴥ
가릉빈가문수막새와당,ㄱㅏᴥㄹㅡㅇᴥㅂㅣㄴᴥㄱㅏᴥㅁㅜㄴᴥㅅㅜᴥㅁㅏㄱᴥㅅㅐᴥㅇㅘᴥㄷㅏㅇᴥ
가마쿠라,ㄱㅏᴥㅁㅏᴥㅋㅜᴥㄹㅏᴥ
가법 혼색,ㄱㅏᴥㅂㅓㅂᴥ ㅎㅗㄴᴥㅅㅐㄱᴥ
