가,ㄱㅏᴥ
가게,ㄱㅏᴥㄱㅔᴥ
가격,ㄱㅏᴥㄱㅕㄱᴥ
가까스로,ㄱㅏᴥㄲㅏᴥㅅㅡᴥㄹㅗᴥ
가네,ㄱㅏᴥㄴㅔᴥ
가능,ㄱㅏᴥㄴㅡㅇᴥ
가뜩,ㄱㅏᴥㄸㅡㄱᴥ
가령,ㄱㅏᴥㄹㅕㅇᴥ
가변,ㄱㅏᴥㅂㅕㄴᴥ
가시,ㄱㅏᴥㅅㅣᴥ
가십,ㄱㅏᴥㅅㅣㅂᴥ
가입,ㄱㅏᴥㅇㅣㅂᴥ
가정,ㄱㅏᴥㅈㅓㅇᴥ
가족,ㄱㅏᴥㅈㅗㄱᴥ
가지,ㄱㅏᴥㅈㅣᴥ
가지각색,ㄱㅏᴥㅈㅣᴥㄱㅏㄱᴥㅅㅐㄱᴥ
가치,ㄱㅏᴥㅊㅣᴥ
각,ㄱㅏㄱᴥ
각각,ㄱㅏㄱᴥㄱㅏㄱᴥ
각국,ㄱㅏㄱᴥㄱㅜㄱᴥ
각자,ㄱㅏㄱᴥㅈㅏᴥ
각종,ㄱㅏㄱᴥㅈㅗㅇᴥ
각주,ㄱㅏㄱᴥㅈㅜᴥ
간,ㄱㅏㄴᴥ
간격,ㄱㅏㄴᴥㄱㅕㄱᴥ
간주,ㄱㅏㄴᴥㅈㅜᴥ
감,ㄱㅏㅁᴥ
감사,ㄱㅏㅁᴥㅅㅏᴥ
감소,ㄱㅏㅁᴥㅅㅗᴥ
값,ㄱㅏㅄᴥ
값어치,ㄱㅏㅄᴥㅇㅓᴥㅊㅣᴥ
강,ㄱㅏㅇᴥ
강의,ㄱㅏㅇᴥㅇㅢᴥ
강점,ㄱㅏㅇᴥㅈㅓㅁᴥ
강제,ㄱㅏㅇᴥㅈㅔᴥ
강조,ㄱㅏㅇᴥㅈㅗᴥ
강좌,ㄱㅏㅇᴥㅈㅘᴥ
강화,ㄱㅏㅇᴥㅎㅘᴥ
같다,ㄱㅏㅌᴥㄷㅏᴥ
같이,ㄱㅏㅌᴥㅇㅣᴥ
개,ㄱㅐᴥ
개념,ㄱㅐᴥㄴㅕㅁᴥ
개발,ㄱㅐᴥㅂㅏㄹᴥ
개별,ㄱㅐᴥㅂㅕㄹᴥ
개수,ㄱㅐᴥㅅㅜᴥ
개요,ㄱㅐᴥㅇㅛᴥ
개의치,ㄱㅐᴥㅇㅢᴥㅊㅣᴥ
개의치않고,ㄱㅐᴥㅇㅢᴥㅊㅣᴥㅇㅏㄶᴥㄱㅗᴥ
개인,ㄱㅐᴥㅇㅣㄴᴥ
개점,ㄱㅐᴥㅈㅓㅁᴥ
개정,ㄱㅐᴥㅈㅓㅇᴥ
거기,ㄱㅓᴥㄱㅣᴥ
거니와,ㄱㅓᴥㄴㅣᴥㅇㅘᴥ
거대,ㄱㅓᴥㄷㅐᴥ
거리,ㄱㅓᴥㄹㅣᴥ
거바,ㄱㅓᴥㅂㅏᴥ
거의,ㄱㅓᴥㅇㅢᴥ
거짓,ㄱㅓᴥㅈㅣㅅᴥ
건물,ㄱㅓㄴᴥㅁㅜㄹᴥ
것,ㄱㅓㅅᴥ
것들,ㄱㅓㅅᴥㄷㅡㄹᴥ
게다가,ㄱㅔᴥㄷㅏᴥㄱㅏᴥ
게시판,ㄱㅔᴥㅅㅣᴥㅍㅏㄴᴥ
게우다,ㄱㅔᴥㅇㅜᴥㄷㅏᴥ
겨우,ㄱㅕᴥㅇㅜᴥ
견지에서,ㄱㅕㄴᴥㅈㅣᴥㅇㅔᴥㅅㅓᴥ
결과,ㄱㅕㄹᴥㄱㅘᴥ
결과물,ㄱㅕㄹᴥㄱㅘᴥㅁㅜㄹᴥ
결국,ㄱㅕㄹᴥㄱㅜㄱᴥ
결정,ㄱㅕㄹᴥㅈㅓㅇᴥ
결코,ㄱㅕㄹᴥㅋㅗᴥ
결함,ㄱㅕㄹᴥㅎㅏㅁᴥ
결혼,ㄱㅕㄹᴥㅎㅗㄴᴥ
겸사겸사,ㄱㅕㅁᴥㅅㅏᴥㄱㅕㅁᴥㅅㅏᴥ
경로,ㄱㅕㅇᴥㄹㅗᴥ
경우,ㄱㅕㅇᴥㅇㅜᴥ
경쟁,ㄱㅕㅇᴥㅈㅐㅇᴥ
경험,ㄱㅕㅇᴥㅎㅓㅁᴥ
계산,ㄱㅖᴥㅅㅏㄴᴥ
계속,ㄱㅖᴥㅅㅗㄱᴥ
계절,ㄱㅖᴥㅈㅓㄹᴥ
계획,ㄱㅖᴥㅎㅚㄱᴥ
고,ㄱㅗᴥ
고등학교,ㄱㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ
고등학생,ㄱㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㅅㅐㅇᴥ
고려,ㄱㅗᴥㄹㅕᴥ
고려하면,ㄱㅗᴥㄹㅕᴥㅎㅏᴥㅁㅕㄴᴥ
고로,ㄱㅗᴥㄹㅗᴥ
고모,ㄱㅗᴥㅁㅗᴥ
고모부,ㄱㅗᴥㅁㅗᴥㅂㅜᴥ
고사,ㄱㅗᴥㅅㅏᴥ
고사장,ㄱㅗᴥㅅㅏᴥㅈㅏㅇᴥ
고속도로,ㄱㅗᴥㅅㅗㄱᴥㄷㅗᴥㄹㅗᴥ
고정,ㄱㅗᴥㅈㅓㅇᴥ
곧,ㄱㅗㄷᴥ
곱하기,ㄱㅗㅂᴥㅎㅏᴥㄱㅣᴥ
곳,ㄱㅗㅅᴥ
공간,ㄱㅗㅇᴥㄱㅏㄴᴥ
공개,ㄱㅗㅇᴥㄱㅐᴥ
공공,ㄱㅗㅇᴥㄱㅗㅇᴥ
공동,ㄱㅗㅇᴥㄷㅗㅇᴥ
공동으로,ㄱㅗㅇᴥㄷㅗㅇᴥㅇㅡᴥㄹㅗᴥ
공부,ㄱㅗㅇᴥㅂㅜᴥ
공식,ㄱㅗㅇᴥㅅㅣㄱᴥ
공유,ㄱㅗㅇᴥㅇㅠᴥ
공장,ㄱㅗㅇᴥㅈㅏㅇᴥ
공통,ㄱㅗㅇᴥㅌㅗㅇᴥ
공통점,ㄱㅗㅇᴥㅌㅗㅇᴥㅈㅓㅁᴥ
과,ㄱㅘᴥ
과거,ㄱㅘᴥㄱㅓᴥ
과업,ㄱㅘᴥㅇㅓㅂᴥ
과연,ㄱㅘᴥㅇㅕㄴᴥ
과일,ㄱㅘᴥㅇㅣㄹᴥ
과정,ㄱㅘᴥㅈㅓㅇᴥ
관,ㄱㅘㄴᴥ
관계,ㄱㅘㄴᴥㄱㅖᴥ
관계없이,ㄱㅘㄴᴥㄱㅖᴥㅇㅓㅄᴥㅇㅣᴥ
관계자,ㄱㅘㄴᴥㄱㅖᴥㅈㅏᴥ
관련,ㄱㅘㄴᴥㄹㅕㄴᴥ
관리,ㄱㅘㄴᴥㄹㅣᴥ
관망,ㄱㅘㄴᴥㅁㅏㅇᴥ
관심,ㄱㅘㄴᴥㅅㅣㅁᴥ
관심사,ㄱㅘㄴᴥㅅㅣㅁᴥㅅㅏᴥ
관여,ㄱㅘㄴᴥㅇㅕᴥ
관점,ㄱㅘㄴᴥㅈㅓㅁᴥ
관하여,ㄱㅘㄴᴥㅎㅏᴥㅇㅕᴥ
관한,ㄱㅘㄴᴥㅎㅏㄴᴥ
광경,ㄱㅘㅇᴥㄱㅕㅇᴥ
교대,ㄱㅛᴥㄷㅐᴥ
교수,ㄱㅛᴥㅅㅜᴥ
